"['Brn Tabby / White', 'Male', 'Domestic Shorthair', 'Dead Cat']"
"['Tricolor', 'Spayed Female', 'Rat Terrier', 'Dog']"
"['Unknown', 'Female', 'Labrador Retriever', 'Dog']"
"['Orange / White', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Male', 'Cavalier King Charles Spaniel', 'Dog']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Org Tabby', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['White / Black', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Brown / Brown', 'Male', 'Labrador Retriever', 'Dog']"
"['Brown / Black', 'Male', 'Boxer', 'Dog']"
"['Brown / Black', 'Male', 'Boxer', 'Dog']"
"['Brown / Black', 'Male', 'Boxer', 'Dog']"
"['Unknown', 'Male', 'Domestic Mediumhair', 'Cat']"
"['Calico / Tricolor', 'Spayed Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Female', 'Siberian Husky', 'Dog']"
"['Dilute Tor', 'Spayed Female', 'Domestic Shorthair / Manx', 'Cat']"
"['Brn Tabby / White', 'Unaltered', 'Domestic Shorthair', 'Dead Cat']"
"['Unknown', 'Male', 'Maine Coon', 'Cat']"
"['Brn Tabby', 'Unaltered', 'Domestic Longhair', 'Dead Cat']"
"['Unknown', 'Male', 'Chihuahua - Long Haired', 'Dog']"
"['Unknown', 'Male', 'Cairn Terrier', 'Dog']"
"['Brown / Black', 'Male', 'Boxer', 'Dog']"
"['Brn Tabby', 'Unaltered', 'Domestic Shorthair', 'Dead Cat']"
"['Unknown', 'Male', 'Golden Retriever', 'Dog']"
"['Unknown', 'Female', 'Alaskan Klee Kai', 'Dog']"
"['White / Gray', 'Female', 'Domestic Mediumhair', 'Dead Cat']"
"['Tan / White', 'Spayed Female', 'Mastiff / Boxer', 'Dog']"
"['Unknown', 'Male', 'Siamese', 'Cat']"
"['White / Black', 'Female', 'Havanese', 'Dog']"
"['Unknown', 'Female', 'Alaskan Husky', 'Dog']"
"['Unknown', 'Female', 'Dachshund', 'Dog']"
"['Unknown', 'Female', 'Pomeranian', 'Dog']"
"['Unknown', 'Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Pit Bull', 'Dog']"
"['White', 'Spayed Female', 'Maltese / Mix', 'Dog']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Brown / Black', '', 'American Shorthair', 'Cat']"
"['Unknown', 'Male', 'Bombay', 'Cat']"
"['Black / White', 'Spayed Female', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Male', 'Toy Poodle', 'Dog']"
"['Unknown', 'Male', 'Toy Poodle', 'Dog']"
"['Unknown', 'Male', 'American Shorthair', 'Cat']"
"['Brn Tabby', 'Male', 'Domestic Shorthair', 'Dead Cat']"
"['Unknown', 'Female', 'American Shorthair', 'Cat']"
"['Black / Brown', 'Male', 'German Shepherd', 'Dog']"
"['Unknown', 'Female', 'Pit Bull', 'Dog']"
"['Black / Brown', 'Male', 'German Shepherd', 'Dog']"
"['Black', '', 'Domestic Shorthair', 'Cat']"
"['Unknown', '', 'German Shepherd', 'Dog']"
"['Unknown', 'Female', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Female', 'Miniature Schnauzer', 'Dog']"
"['Unknown', 'Male', 'Ragdoll', 'Cat']"
"['Brown / White', 'Male', 'Alaskan Husky', 'Dog']"
"['Black / Unknown', 'Male', 'Labrador Retriever', 'Dog']"
"['', 'Male', 'Domestic Longhair', 'Cat']"
"['Black / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Shih Tzu', 'Dog']"
"['Black / White', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['', 'Male', 'Domestic Longhair', 'Cat']"
"['', 'Male', 'Domestic Longhair', 'Cat']"
"['', 'Male', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Female', 'Boxer', 'Dog']"
"['Brn Tabby / Tortie', 'Spayed Female', 'Domestic Longhair', 'Cat']"
"['Brown', '', 'Pekingese', 'Dog']"
"['Brn Tabby / Tortie', 'Spayed Female', 'Domestic Longhair', 'Cat']"
"['Unknown', 'Female', 'Yorkshire Terrier', 'Dog']"
"['Black / Brown', 'Female', 'Rottweiler', 'Dog']"
"['Brown', 'Female', 'Rottweiler', 'Dog']"
"['Unknown', 'Male', 'Himalayan', 'Cat']"
"['Unknown', 'Male', 'Rottweiler', 'Dog']"
"['Black', 'Male', 'Labrador Retriever', 'Dog']"
"['Gray', 'Neutered Male', 'Domestic Shorthair', 'Cat']"
"['Unknown', 'Male', 'Border Collie', 'Dog']"
"['Unknown', 'Male', 'Maltese', 'Dog']"
